,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_bin,income
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,13.022766221635607,NEAR BAY,"(1.999, 941.0]",3
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,12.7896867284182,NEAR BAY,"(4651.5, 39320.0]",3
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,12.771673345241355,NEAR BAY,"(1298.0, 1578.0]",3
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,12.740520064864135,NEAR BAY,"(941.0, 1298.0]",2
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,12.74315356270364,NEAR BAY,"(1578.0, 1835.0]",2
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,12.505069216944454,NEAR BAY,"(1.999, 941.0]",2
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,12.608870867322864,NEAR BAY,"(2462.0, 2876.0]",2
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,12.39421473013906,NEAR BAY,"(2876.0, 3485.0]",2
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,12.331387247601905,NEAR BAY,"(2462.0, 2876.0]",1
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,12.472662584630097,NEAR BAY,"(3485.0, 4651.5]",2
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,12.547891278953442,NEAR BAY,"(2127.0, 2462.0]",2
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,12.395870352803575,NEAR BAY,"(3485.0, 4651.5]",2
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,12.271396795480596,NEAR BAY,"(2462.0, 2876.0]",2
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,12.161603382806213,NEAR BAY,"(1.999, 941.0]",1
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,11.977922833779727,NEAR BAY,"(2462.0, 2876.0]",1
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,11.849404844423074,NEAR BAY,"(941.0, 1298.0]",1
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,11.934926432385152,NEAR BAY,"(1835.0, 2127.0]",1
17,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,11.954407441448915,NEAR BAY,"(941.0, 1298.0]",1
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,11.974777207691876,NEAR BAY,"(2127.0, 2462.0]",1
19,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,12.000897933306716,NEAR BAY,"(1298.0, 1578.0]",1
20,-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,11.901590234400047,NEAR BAY,"(1.999, 941.0]",1
21,-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,11.98168457011701,NEAR BAY,"(1578.0, 1835.0]",1
22,-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,11.643084929027989,NEAR BAY,"(2127.0, 2462.0]",1
23,-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,11.5099309859899,NEAR BAY,"(1578.0, 1835.0]",1
24,-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,11.795099898183592,NEAR BAY,"(2127.0, 2462.0]",1
25,-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,11.58525542883217,NEAR BAY,"(1.999, 941.0]",1
26,-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,11.448930795918299,NEAR BAY,"(941.0, 1298.0]",1
27,-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,11.566475710526321,NEAR BAY,"(1835.0, 2127.0]",1
28,-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,11.598194491615347,NEAR BAY,"(1835.0, 2127.0]",1
29,-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,11.790564777297387,NEAR BAY,"(1.999, 941.0]",1
30,-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,11.714240498256716,NEAR BAY,"(1835.0, 2127.0]",1
31,-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,11.654433707761807,NEAR BAY,"(2127.0, 2462.0]",1
32,-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,11.611874470755124,NEAR BAY,"(1835.0, 2127.0]",1
33,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,11.560772327227417,NEAR BAY,"(1578.0, 1835.0]",1
34,-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,11.605513761992055,NEAR BAY,"(2462.0, 2876.0]",1
35,-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,11.484536278461452,NEAR BAY,"(941.0, 1298.0]",1
36,-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,11.556951919719207,NEAR BAY,"(1578.0, 1835.0]",1
37,-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,11.551193801680078,NEAR BAY,"(1298.0, 1578.0]",1
38,-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,12.162125982647739,NEAR BAY,"(1298.0, 1578.0]",2
39,-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,12.07824495582233,NEAR BAY,"(2127.0, 2462.0]",1
